0,100,100,100
0.01,100,100,100
0.02,100,100,100
0.03,100,100,100
0.04,100,100,100
0.05,100,100,100
0.06,100,100,100
0.07,100,100,100
0.08,100,100,100
0.09,100,100,100
0.1,100,100,100
0.11,100,100,100
0.12,100,100,100
0.13,100,100,100
0.14,100,100,100
0.15,100,100,100
0.16,100,100,100
0.17,100,100,100
0.18,100,100,100
0.19,100,100,100
0.2,100,100,100
0.21,100,100,100
0.22,100,100,100
0.23,100,100,100
0.24,100,100,100
0.25,100,100,100
0.26,100,100,100
0.27,100,100,100
0.28,100,100,100
0.29,100,100,100
0.3,100,100,100
0.31,100,100,100
0.32,100,100,100
0.33,100,100,100
0.34,100,100,100
0.35,100,100,100
0.36,100,100,100
0.37,100,100,100
0.38,100,100,100
0.39,100,100,100
0.4,100,100,100
0.41,100,100,100
0.42,100,100,100
0.43,100,100,100
0.44,100,100,100
0.45,100,100,100
0.46,100,100,100
0.47,100,100,100
0.48,100,100,100
0.49,100,100,100
0.5,100,100,100
0.51,100,100,100
0.52,100,100,100
0.53,100,100,100
0.54,100,100,100
0.55,100,100,100
0.56,100,100,100
0.57,100,100,100
0.58,100,100,100
0.59,100,100,100
0.6,100,100,100
0.61,100,100,100
0.62,100,100,100
0.63,100,100,100
0.64,100,100,100
0.65,100,100,100
0.66,100,100,100
0.67,100,100,100
0.68,100,100,100
0.69,100,100,100
0.7,100,100,100
0.71,100,100,100
0.72,100,100,100
0.73,100,100,100
0.74,100,100,100
0.75,100,100,100
0.76,100,100,100
0.77,100,100,100
0.78,100,100,100
0.79,100,100,100
0.8,100,100,100
0.81,100,100,100
0.82,100,100,100
0.83,100,100,100
0.84,100,100,100
0.85,100,100,100
0.86,100,100,100
0.87,100,100,100
0.88,100,100,100
0.89,100,100,100
0.9,100,100,100
0.91,100,100,100
0.92,100,100,100
0.93,100,100,100
0.94,100,100,100
0.95,100,100,100
0.96,100,100,100
0.97,100,100,100
0.98,100,100,100
0.99,100,100,100
1,100,100,100
1.01,100,100,100
1.02,100,100,100
1.03,100,100,100
1.04,100,100,100
1.05,100,100,100
1.06,100,100,100
1.07,100,100,100
1.08,100,100,100
1.09,100,100,100
1.1,100,100,100
1.11,100,100,100
1.12,100,100,100
1.13,100,100,100
1.14,100,100,100
1.15,100,100,100
1.16,100,100,100
1.17,100,100,100
1.18,100,100,100
1.19,100,100,100
1.2,100,100,100
1.21,100,100,100
1.22,100,100,100
1.23,100,100,100
1.24,100,100,100
1.25,100,100,100
1.26,100,100,100
1.27,100,100,100
1.28,100,100,100
1.29,100,100,100
1.3,100,100,100
1.31,100,100,100
1.32,100,100,100
1.33,100,100,100
1.34,100,100,100
1.35,100,100,100
1.36,100,100,100
1.37,100,100,100
1.38,100,100,100
1.39,100,100,100
1.4,100,100,100
1.41,100,100,100
1.42,100,100,100
1.43,100,100,100
1.44,100,100,100
1.45,100,100,100
1.46,100,100,100
1.47,100,100,100
1.48,100,100,100
1.49,100,100,100
1.5,100,100,100
1.51,100,100,100
1.52,100,100,100
1.53,100,100,100
1.54,100,100,100
1.55,100,100,100
1.56,100,100,100
1.57,100,100,100
1.58,100,100,100
1.59,100,100,100
1.6,100,100,100
1.61,100,100,100
1.62,100,100,100
1.63,100,100,100
1.64,100,100,100
1.65,100,100,100
1.66,100,100,100
1.67,100,100,100
